X,Y,OBJECTID,BSID,LNG,LAT,X_COORD,Y_COORD,STATUS,ROUTES,STOPNAME,DIR,GPS_YEAR,GPS_DATE,DISTANCE_FROM_STREET,BETWEEN_STREET_DISTANCE,Z_ELEVATION,DISTRICT,CITY,PARCEL_ID_NUMBER,POSTAL,PID,COUNTY,LOCATION,TEAMBOUNDARY,PICTURE,SE_ANNO_CAD_DATA,CORNER,RUNBOARD,COMMENTS,ON_STREET,AT_STREET,BETWEEN_STREET,STATION_ID,HUBABBR,HUBNAME,SBOARDS,STOPNAME_BSID
-11688148.5494,4829707.1198,7924104,35414,-104.99641475,39.75018647,3141598.02808,1698527.84494,active,MALL,17th St & Larimer St,E,2022,2022/04/06 00:00:00+00,10,,,A,Denver,,80202,-1,Denver,N,West,,,,,TEMPORARY 16TH STREET MALL DETOUR STOP,,,,,,,,17th St & Larimer St (Stop No. 35414)
-11688352.279,4829400.4336,7924105,35424,-104.99824487,39.74806828,3141087.70065,1697753.41583,active,MALL,15th St & Lawrence St,N,2022,2022/04/06 00:00:00+00,150,,,A,Denver,,80202,-1,Denver,N,West,,,,,TEMPORARY 16TH STREET MALL DETOUR STOP,,,,,,,,15th St & Lawrence St (Stop No. 35424)
-11688523.7881,4829570.7628,7924106,35425,-104.99978557,39.74924472,3140652.11783,1698179.56256,active,MALL,15th St & Market St,N,2022,2022/04/06 00:00:00+00,100,,,A,Denver,,80202,-1,Denver,F,West,,,,,TEMPORARY 16TH STREET MALL DETOUR STOP,,,,,,,,15th St & Market St (Stop No. 35425)
-11682102.9102,4858100.3171,7924107,35377,-104.94210581,39.94600782,3156430.35504,1769950.36331,active,93L,138th Ave & Cherrywood Park Rd,E,2023,2023/03/29 00:00:00+00,50,,,I,Thornton,,80602,-1,Adams,N,North,,,,,LAYOVER STOP,,,,,,,,138th Ave & Cherrywood Park Rd (Stop No. 35377)
-11706802.3011,4858946.373,7924108,35406,-105.16398416,39.95183429,3094209.455,1771766.84431,active,228,Main St & Gateway Dr,W,2022,2022/05/24 00:00:00+00,75,,,O,Superior,,80027,-1,Boulder,F,North,,,,,JANUARY 2022,,,,,,,,Main St & Gateway Dr (Stop No. 35406)
-11703157.7419,4866034.0855,7924109,35408,-105.13124455,40.00062531,3103316.53032,1789577.05859,active,228,CO 42 & Baseline Rd,S,2022,2022/04/22 00:00:00+00,75,,,I,Lafayette,,80026,-1,Boulder,N,North,,,,,JANUARY 2022,,,,,,,,CO 42 & Baseline Rd (Stop No. 35408)
-11716507.4908,4869478.7422,7924110,34451,-105.25116734,40.02432538,3069693.46463,1798096.98136,active,AB,Boulder Junction at Depot Square Station Gate B5,N,2017,2017/01/17 00:00:00+00,75,,999,O,Boulder,,80301,213,Boulder,A,North,,,,Future,MAY 2015,Boulder Junction,Gate B5,,,,Boulder Junction at Depot Square Station,,Boulder Junction at Depot Square Station Gate B5 (Stop No. 34451)
-11652145.1207,4843873.3106,7924111,34654,-104.67299051,39.84795723,3232212.16772,1734808.00973,active,"169L, 104L, 145X",Denver Airport Station Gate 10,E,2016,2016/01/22 00:00:00+00,75,,999,B,Denver,,80249,221,Denver,A,East,,,,Future,JANUARY 2016,Denver Airport Station,Gate 5,,,,DIA Station,,Denver Airport Station Gate 10 (Stop No. 34654)
-11686073.7716,4821415.9871,7924112,15056,-104.9777767,39.69289911,3146958.5719,1677689.90807,active,"12, 11",Louisiana / Pearl Station Gate A,E,2012,2012/04/18 00:00:00+00,20,,999,A,Denver,,80210,128,Denver,N,East,,,SW,,GATE B,E Louisiana Av,Buchtel Blvd S,,62,PeLo,Louisiana / Pearl Station,1,Louisiana / Pearl Station Gate A (Stop No. 15056)
-11701829.7405,4828279.0857,7924113,34562,-105.11931496,39.7403229,3107056.2557,1694766.69414,active,"17, 16",W Colfax Ave & Oak St {1st Pass},W,2015,2015/12/04 00:00:00+00,75,,0,M,Lakewood,,80215,-1,Jefferson,N,West,,,,Future,AUGUST 2015,W Colfax Av,Owens St,,,,,,W Colfax Ave & Oak St {1st Pass} (Stop No. 34562)
