X,Y,OBJECTID,PID,NAME,LOCAL_RTS,EXPRESS_RTS,LIMITED_RTS,REGIONAL_RTS,SKYRIDE_RTS,SPECIAL_RTS,ADDRESS,AUTOS,RACKS,LOCKERS,OPENED,DISTRICT,SHELTERS,PHONE,CLASS,SE_ANNO_CAD_DATA,CITY,ZIPCODE,PARCEL_ID_NUMBER,DIAGRAM,LOCATION,RAIL_LINE,STOPID,STOP_LAT,STOP_LON,VMAP,CNRS,INFO_REPORT
-11687453.3631,4822727.2783,401,62,I-25 / Broadway Station,0-0L-11-14, , ,,,D-E-H,901 S Broadway,988,12,30,1994,A,16,Yes,LRT,,Denver,80209,Stop#: 23061 (South)<br />Stop#: 23041 (North),BroncosRide,I-25 & Broadway,D-E-H,33686,39.701235,-104.98886,,, 
-11685604.3969,4830932.6699,396,57,30th / Downing Station,12-28-34, , ,,,L,2999 Downing St,27,9,8,1994,B,2,Yes,LRT,,Denver,80205,Stop#: 23051,,Downing St & California St,L,33703,39.758977,-104.973786,,,
-11687786.3716,4823698.4993,391,1,Alameda Station,1-3-4-52, , ,,,D-E-H,499 S Cherokee St,0,6,8,1994,A,3,Yes,STN,,Denver,80223,Stop#: 23060 (South)<br />Stop#: 23042 (North),BroncosRide,Cherokee St & Alaska Pl,D-E-H,33704,39.70892,-104.992883,Platte Valley,PLFX,
-11676141.8029,4808029.3287,398,2,Arapahoe at Village Center Station,66-153-169, , ,,AT,E-R,8800 E Caley Ave,817,7,10,1984,G,8,No,LRT,,Greenwood Village,80111,Stop#: 25990 (South)<br />Stop#: 34008 (North),BroncosRide,Caley & Yosemite ,E-R,33705,39.601315,-104.887494,Arapahoe - Orchard,APFX, 
-11677923.4464,4811985.3289,461,125,Belleview Station,73, , ,,,E-R,4855 S Quebec St,59,5,12,2006,E,5,No,LRT,,Denver,80237,Stop#: 25991 (South)<br />Stop#: 34010 (North),BroncosRide,Belleview & I-25,E-R,33706,39.627524,-104.904746,Belleview,BWFX, 
-11681609.2605,4819497.8655,435,127,Colorado Station,21-40-46, , ,,,E-H,4300 E Colorado Center Dr,363,6,24,2006,A,8,No,LRT,,Denver,80222,Stop#: 25980 (South)<br />Stop#: 34013 (North),BroncosRide,Evans & I-25,E-H,33708,39.708879,-104.989493,,,
-11674329.4643,4802469.7311,399,119,County Line Station,402L, , ,,,E-R,8340 S Valley Hwy,388,5,14,2006,G,3,No,LRT,,Meridian,80112,Stop#: 25988 (South)<br />Stop#: 34006 (North),BroncosRide,County Line Rd & I-25 (Park Meadows Mall),E-R,33709,39.679398,-104.937673,Lone Tree - South Inverness,SIFX, 
-11674930.0191,4814216.7002,440,130,Dayton Station,, , ,,,H-R,4151 S Dallas St,250,8,8,2006,E,1,No,LRT,,Aurora,80111,Stop#: 25974 (South)<br />Stop#: 34004 (North),,I-225 & Yosemite,H-R,33710,39.561964,-104.870532,,, 
-11674831.3934,4804959.7878,458,122,Dry Creek Station,, , ,,,E-R,9450 E Dry Creek Rd,235,5,0,2006,G,2,No,LRT,,Centennial,80112,Stop#: 25989 (South)<br />Stop#: 34007 (North),BroncosRide,Dry Creek & I-25,E-R,33711,39.643677,-104.878653,Dry Creek - North Inverness,DRFX - NIFX,
-11688547.9079,4815999.3517,438,60,Englewood Station,0-12-35-51-TRLY, , ,,,D,899 W Floyd Ave,910,18,32,1999,D,4,Yes,LRT,,Englewood,80110,Stop#: 25436 (South)<br />Stop#: 24890 (North),BroncosRide,Floyd & Inca ,D,33712,39.579487,-104.877416,,, 
